epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9504,1.21814,1.72307,0.83139,0.38662,0.3094,0.18065,0.09786,1.41309,19.8778,0.85827,0.000405983,0.000405983,0.000405983
2,56.6851,1.22278,0.77347,0.81729,0.28516,0.3863,0.31055,0.20039,nan,nan,nan,0.00081722,0.00081722,0.00081722
3,85.4161,1.18922,0.71384,0.81437,0.07873,0.01475,0.04198,0.02719,nan,nan,nan,0.00122296,0.00122296,0.00122296
4,113.073,1.24977,0.69764,0.81841,0.52512,0.5547,0.37491,0.19814,1.26028,2.36095,0.82771,0.00122525,0.00122525,0.00122525
5,142.737,1.29386,0.69111,0.82271,0.68907,0.61134,0.64507,0.37877,1.08826,0.75327,0.81608,0.001217,0.001217,0.001217
6,172.184,1.20899,0.67761,0.81543,0.8228,0.57129,0.65154,0.35822,1.21995,0.64601,0.8255,0.00120875,0.00120875,0.00120875
7,201.194,1.15555,0.61412,0.80916,0.68337,0.5813,0.627,0.3657,1.1241,0.63939,0.8216,0.0012005,0.0012005,0.0012005
8,230.176,1.10494,0.59747,0.80702,0.72585,0.62499,0.69487,0.41963,1.06635,0.55396,0.81542,0.00119225,0.00119225,0.00119225
9,259.739,1.02933,0.52678,0.80388,0.89535,0.53731,0.65248,0.40186,1.0906,0.54555,0.81819,0.001184,0.001184,0.001184
10,289.129,1.05089,0.53855,0.80283,0.81299,0.64164,0.71904,0.43789,1.05309,0.53553,0.81051,0.00117575,0.00117575,0.00117575
11,318.544,1.14306,0.57843,0.80606,0.89114,0.61137,0.73359,0.44659,1.03688,0.52082,0.81078,0.0011675,0.0011675,0.0011675
12,349.318,1.05974,0.54775,0.80296,0.79224,0.64837,0.73215,0.45226,0.93045,0.49962,0.80435,0.00115925,0.00115925,0.00115925
13,379.265,1.01714,0.52183,0.80032,0.85168,0.66994,0.74206,0.45896,0.9266,0.46531,0.80396,0.001151,0.001151,0.001151
14,409.319,1.00121,0.49706,0.79875,0.6293,0.5584,0.61356,0.35254,1.19118,0.55153,0.82955,0.00114275,0.00114275,0.00114275
15,438.665,0.95071,0.47131,0.79496,0.81983,0.69707,0.7516,0.4824,0.8873,0.4465,0.8029,0.0011345,0.0011345,0.0011345
16,468.59,0.95998,0.47652,0.79638,0.83336,0.68454,0.75814,0.48487,0.89005,0.45549,0.80593,0.00112625,0.00112625,0.00112625
17,498.125,0.9516,0.47097,0.79456,0.83608,0.71328,0.77139,0.47172,0.91429,0.43099,0.8022,0.001118,0.001118,0.001118
18,527.681,0.97618,0.47944,0.79424,0.76271,0.57055,0.63524,0.37102,1.08196,0.57948,0.82092,0.00110975,0.00110975,0.00110975
19,557.186,0.93835,0.46884,0.7963,0.71048,0.49835,0.58104,0.37119,0.98428,0.51019,0.81183,0.0011015,0.0011015,0.0011015
20,586.656,0.93291,0.45424,0.79251,0.78728,0.71765,0.7619,0.49796,0.8657,0.4328,0.80228,0.00109325,0.00109325,0.00109325
21,616.779,0.88945,0.44245,0.79189,0.84058,0.71251,0.78131,0.49238,0.90388,0.42872,0.80327,0.001085,0.001085,0.001085
22,646.149,0.99111,0.48022,0.7951,0.84551,0.60545,0.699,0.39809,1.03273,0.50495,0.81405,0.00107675,0.00107675,0.00107675
23,675.083,0.90957,0.44879,0.7914,0.8865,0.737,0.78721,0.51243,0.83416,0.42485,0.79701,0.0010685,0.0010685,0.0010685
24,704.278,0.8731,0.42575,0.78781,0.86426,0.73561,0.80984,0.52663,0.83902,0.42175,0.80006,0.00106025,0.00106025,0.00106025
25,733.836,0.86743,0.41547,0.78852,0.74445,0.67606,0.719,0.47007,0.87686,0.44681,0.80141,0.001052,0.001052,0.001052
26,762.996,0.87636,0.42085,0.79062,0.90587,0.74962,0.79443,0.52953,0.84798,0.42944,0.79885,0.00104375,0.00104375,0.00104375
27,792.844,0.89138,0.43779,0.78838,0.8653,0.70801,0.76968,0.51297,0.90196,0.45286,0.8007,0.0010355,0.0010355,0.0010355
28,822.073,0.9052,0.46242,0.79231,0.86253,0.69581,0.75179,0.50858,0.86472,0.53407,0.79942,0.00102725,0.00102725,0.00102725
29,851.558,0.90836,0.45787,0.79073,0.79101,0.71935,0.74898,0.51636,0.84894,0.4251,0.80139,0.001019,0.001019,0.001019
30,880.672,0.88732,0.42831,0.79032,0.85166,0.74079,0.78521,0.54698,0.82292,0.40583,0.79661,0.00101075,0.00101075,0.00101075
31,911.222,0.87091,0.41677,0.78751,0.85118,0.68064,0.76345,0.50517,0.86807,0.43052,0.80014,0.0010025,0.0010025,0.0010025
32,940.581,0.85468,0.41125,0.78633,0.83582,0.73244,0.78462,0.53723,0.82442,0.4284,0.79479,0.00099425,0.00099425,0.00099425
33,970.591,0.85761,0.41572,0.78876,0.9276,0.72971,0.80599,0.53355,0.8552,0.41216,0.80112,0.000986,0.000986,0.000986
34,999.61,0.82964,0.41628,0.78948,0.89248,0.62893,0.73128,0.49809,0.89261,0.43259,0.80379,0.00097775,0.00097775,0.00097775
35,1027.75,0.90639,0.42246,0.78899,0.85854,0.71499,0.79323,0.5066,0.89546,0.44952,0.80057,0.0009695,0.0009695,0.0009695
36,1056.89,0.87181,0.41373,0.78709,0.92958,0.6948,0.77556,0.52978,0.86128,0.4157,0.79824,0.00096125,0.00096125,0.00096125
37,1086.08,0.82423,0.39201,0.78734,0.94266,0.69579,0.79121,0.5461,0.80122,0.38965,0.79689,0.000953,0.000953,0.000953
38,1115.46,0.80236,0.38354,0.78451,0.87697,0.75143,0.79055,0.54339,0.79487,0.40212,0.79726,0.00094475,0.00094475,0.00094475
39,1144.6,0.84632,0.40921,0.78708,0.86124,0.71626,0.77625,0.50753,0.84345,0.42504,0.79995,0.0009365,0.0009365,0.0009365
40,1173.64,0.86302,0.41661,0.78755,0.72529,0.73678,0.74494,0.47787,1.00451,0.46852,0.8108,0.00092825,0.00092825,0.00092825
41,1203.24,0.86242,0.41013,0.78732,0.91984,0.707,0.77875,0.5321,0.82912,0.39672,0.79992,0.00092,0.00092,0.00092
42,1232.85,0.83358,0.38851,0.78825,0.8925,0.75187,0.81386,0.5388,0.80594,0.38879,0.79755,0.00091175,0.00091175,0.00091175
43,1262.61,0.81872,0.38343,0.78343,0.89133,0.72057,0.80274,0.54973,0.8107,0.39081,0.79687,0.0009035,0.0009035,0.0009035
44,1291.76,0.80584,0.38224,0.78474,0.84703,0.75382,0.80461,0.55338,0.8296,0.39732,0.79803,0.00089525,0.00089525,0.00089525
45,1320.47,0.85293,0.40535,0.78514,0.85546,0.71741,0.78317,0.52526,0.85859,0.41205,0.8013,0.000887,0.000887,0.000887
46,1349.77,0.80616,0.39563,0.78529,0.8592,0.7184,0.77206,0.53541,0.84274,0.40075,0.79794,0.00087875,0.00087875,0.00087875
